Beijing; 2022; Winter; Alpine Skiing; Men's Alpine Combined; https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing/men-alpine-combined
Beijing; 2022; Winter; Alpine Skiing; Men's Downhill; https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing/men-downhill
Beijing; 2022; Winter; Alpine Skiing; Men's Giant Slalom; https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing/men-giant-slalom
Beijing; 2022; Winter; Alpine Skiing; Men's Slalom; https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing/men-slalom
Beijing; 2022; Winter; Alpine Skiing; Men's Super-G; https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing/men-super-g
Beijing; 2022; Winter; Alpine Skiing; Mixed Team Parallel; https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing/mixed-team-parallel
Beijing; 2022; Winter; Alpine Skiing; Women's Alpine Combined; https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing/women-alpine-combined
Beijing; 2022; Winter; Alpine Skiing; Women's Downhill; https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing/women-downhill
Beijing; 2022; Winter; Alpine Skiing; Women's Giant Slalom; https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing/women-giant-slalom
Beijing; 2022; Winter; Alpine Skiing; Women's Slalom; https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing/women-slalom
Beijing; 2022; Winter; Alpine Skiing; Women's Super-G; https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing/women-super-g
Beijing; 2022; Winter; Biathlon; Men's 10km Sprint; https://olympics.com/en/olympic-games/beijing-2022/results/biathlon/men-10km-sprint
Beijing; 2022; Winter; Biathlon; Men's 12.5km Pursuit; https://olympics.com/en/olympic-games/beijing-2022/results/biathlon/men-12-5km-pursuit
Beijing; 2022; Winter; Biathlon; Men's 15km Mass Start; https://olympics.com/en/olympic-games/beijing-2022/results/biathlon/men-15km-mass-start
Beijing; 2022; Winter; Biathlon; Men's 20km Individual; https://olympics.com/en/olympic-games/beijing-2022/results/biathlon/men-20km-individual
Beijing; 2022; Winter; Biathlon; Men's 4x7.5km Relay; https://olympics.com/en/olympic-games/beijing-2022/results/biathlon/men-4x7-5km-relay
Beijing; 2022; Winter; Biathlon; Mixed Relay 4x6km (W+M); https://olympics.com/en/olympic-games/beijing-2022/results/biathlon/mixed-relay-4x6km-women-and-men
Beijing; 2022; Winter; Biathlon; Women's 10km Pursuit; https://olympics.com/en/olympic-games/beijing-2022/results/biathlon/women-10km-pursuit
