Country;Athlete;Sport;Games;Gold;Silver;Bronze;YearOfBirth
Norway; Johannes Thingnes Boe; Biathlon; 4; 0; 1; 3; 1993
Russian Olympic Committee; Alexander Bolshunov; Cross Country Skiing; 3; 1; 1; 2; 1996
Norway; Marte Olsbu Roeiseland; Biathlon; 3; 0; 2; 1; 1990
Netherlands; Irene Schouten; Speed skating; 3; 0; 1; 2; 1992
Norway; Therese Johaug; Cross Country Skiing; 3; 0; 0; 3; 1988
France; Quentin Fillon Maillet; Biathlon; 2; 3; 0; 2; 1992
Norway; Johannes Hoesflot Klaebo; Cross Country Skiing; 2; 1; 1; 2; 1996
Norway; Tarjei Boe; Biathlon; 2; 1; 1; 4; 1988
Netherlands; Suzanne Schulting; Short Track Speed Skating; 2; 1; 1; 1; 1997
Norway; Joergen Graabak; Nordic Combined; 2; 1; 0; 3; 1991
People's Republic of China; Ailing Eileen Gu; Freestyle Skiing; 2; 1; 0; 1; 2003
Austria; Johannes Strolz; Alpine Skiing; 2; 1; 0; 1; 1992
Germany; Johannes Ludwig; Luge; 2; 0; 0; 2; 1986
Sweden; Nils Van Der Poel; Speed skating; 2; 0; 0; 2; 1996
United States of America; Lindsey Jacobellis; Snowboard; 2; 0; 0; 5; 1985
Germany; Thorsten Margis; Bobsleigh; 2; 0; 0; 3; 1989
Germany; Natalie Geisenberger; Luge; 2; 0; 0; 4; 1988
People's Republic of China; Ziwei Ren; Short Track Speed Skating; 2; 0; 0; 2; 1997
Slovenia; Ursa Bogataj; Ski Jumping; 2; 0; 0; 2; 1995
Germany; Francesco Friedrich; Bobsleigh; 2; 0; 0; 3; 1990
Japan; Miho Takagi; Speed skating; 1; 3; 0; 3; 1994
Italy; Arianna Fontana; Short Track Speed Skating; 1; 2; 0; 5; 1990
Sweden; Elvira Oeberg; Biathlon; 1; 2; 0; 1; 1999
Republic of Korea; Minjeong Choi; Short Track Speed Skating; 1; 2; 0; 2; 1998
Norway; Tiril Eckhoff; Biathlon; 1; 1; 1; 3; 1990
Canada; Isabelle Weidemann; Speed skating; 1; 1; 1; 2; 1995
Sweden; Jonna Sundling; Cross Country Skiing; 1; 1; 1; 1; 1994
Finland; Iivo Niskanen; Cross Country Skiing; 1; 1; 1; 3; 1992
Canada; Steven Dubois; Short Track Speed Skating; 1; 1; 1; 1; 1997
Russian Olympic Committee; Natalia Nepryaeva; Cross Country Skiing; 1; 1; 1; 1; 1995
Germany; Victoria Carl; Cross Country Skiing; 1; 1; 0; 2; 1995
