NOR; johannes thingnes boe; Biathlon; 4; -; 1; 3; 1993
ROC; alexander bolshunov; Cross Country Skiing; 3; 1; 1; 2; 1996
NOR; marte olsbu roeiseland; Biathlon; 3; -; 2; 1; 1990
NED; irene schouten; Speed skating; 3; -; 1; 2; 1992
NOR; therese johaug; Cross Country Skiing; 3; -; -; 3; 1988
FRA; quentin fillon maillet; Biathlon; 2; 3; -; 2; 1992
NOR; johannes hoesflot klaebo; Cross Country Skiing; 2; 1; 1; 2; 1996
NOR; tarjei boe; Biathlon; 2; 1; 1; 4; 1988
NED; suzanne schulting; Short Track Speed Skating; 2; 1; 1; 1; 1997
NOR; joergen graabak; Nordic Combined; 2; 1; -; 3; 1991
CHN; ailing eileen gu; Freestyle Skiing; 2; 1; -; 1; 2003
AUT; johannes strolz; Alpine Skiing; 2; 1; -; 1; 1992
GER; johannes ludwig; Luge; 2; -; -; 2; 1986
SWE; nils van der poel; Speed skating; 2; -; -; 2; 1996
USA; lindsey jacobellis; Snowboard; 2; -; -; 5; 1985
GER; thorsten margis; Bobsleigh; 2; -; -; 3; 1989
GER; natalie geisenberger; Luge; 2; -; -; 4; 1988
CHN; ziwei ren; Short Track Speed Skating; 2; -; -; 2; 1997
SLO; ursa bogataj; Ski Jumping; 2; -; -; 2; 1995
GER; francesco friedrich; Bobsleigh; 2; -; -; 3; 1990
JPN; miho takagi; Speed skating; 1; 3; -; 3; 1994
ITA; arianna fontana; Short Track Speed Skating; 1; 2; -; 5; 1990
SWE; elvira oeberg; Biathlon; 1; 2; -; 1; 1999
KOR; minjeong choi; Short Track Speed Skating; 1; 2; -; 2; 1998
NOR; tiril eckhoff; Biathlon; 1; 1; 1; 3; 1990
CAN; isabelle weidemann; Speed skating; 1; 1; 1; 2; 1995
SWE; jonna sundling; Cross Country Skiing; 1; 1; 1; 1; 1994
FIN; iivo niskanen; Cross Country Skiing; 1; 1; 1; 3; 1992
CAN; steven dubois; Short Track Speed Skating; 1; 1; 1; 1; 1997
ROC; natalia nepryaeva; Cross Country Skiing; 1; 1; 1; 1; 1995
GER; victoria carl; Cross Country Skiing; 1; 1; -; 2; 1995
GER; vinzenz geiger; Nordic Combined; 1; 1; -; 2; 1997
CHN; yiming su; Snowboard; 1; 1; -; 1; 2004
SLO; timi zajc; Ski Jumping; 1; 1; -; 2; 2000
CHN; mengtao xu; Freestyle Skiing; 1; 1; -; 4; 1990
ROC; denis spitsov; Cross Country Skiing; 1; 1; -; 2; 1996
JPN; ryoyu kobayashi; Ski Jumping; 1; 1; -; 2; 1996
AUT; manuel fettner; Ski Jumping; 1; 1; -; 2; 1985
NZL; zoi sadowski synnott; Snowboard; 1; 1; -; 2; 2001
AUT; katharina liensberger; Alpine Skiing; 1; 1; -; 2; 1997
SLO; peter prevc; Ski Jumping; 1; 1; -; 4; 1992
NED; thomas krol; Speed skating; 1; 1; -; 1; 1992
KOR; daeheon hwang; Short Track Speed Skating; 1; 1; -; 2; 1999
USA; nathan chen; Figure skating; 1; 1; -; 2; 1999
CHN; guangpu qi; Freestyle Skiing; 1; 1; -; 4; 1990
GER; katharina hennig; Cross Country Skiing; 1; 1; -; 2; 1996
NOR; jens luraas oftebro; Nordic Combined; 1; 1; -; 1; 2000
CAN; ivanie blondin; Speed skating; 1; 1; -; 3; 1990
HUN; shaoang liu; Short Track Speed Skating; 1; -; 2; 2; 1998
NED; ireen wüst; Speed skating; 1; -; 1; 5; 1986
SWE; oskar eriksson; Curling; 1; -; 1; 4; 1991
GER; denise herrmann; Biathlon; 1; -; 1; 3; 1988
CHN; chunyu qu; Short Track Speed Skating; 1; -; 1; 2; 1996
AUT; matthias mayer; Alpine Skiing; 1; -; 1; 3; 1990
SUI; lara gut - behrami; Alpine Skiing; 1; -; 1; 3; 1991
SUI; michelle gisin; Alpine Skiing; 1; -; 1; 3; 1993
ROC; yulia stupak; Cross Country Skiing; 1; -; 1; 2; 1995
SUI; mathilde gremaud; Freestyle Skiing; 1; -; 1; 2; 2000
CHN; kexin fan; Short Track Speed Skating; 1; -; 1; 3; 1993
NOR; vetle sjaastad christiansen; Biathlon; 1; -; 1; 1; 1992
CHN; yuting zhang; Short Track Speed Skating; 1; -; 1; 1; 1999
SLO; nika kriznar; Ski Jumping; 1; -; 1; 2; 2000
CAN; max parrot; Snowboard; 1; -; 1; 3; 1994
NOR; hallgeir engebraaten; Speed skating; 1; -; 1; 1; 1999
CAN; ann-renee desbiens; Ice Hockey; 1; -; -; 2; 1994
GBR; eve muirhead; Curling; 1; -; -; 4; 1990
FIN; niko ojamaki; Ice Hockey; 1; -; -; 1; 1995
CHN; tingyu gao; Speed skating; 1; -; -; 2; 1997
FIN; petteri lindbohm; Ice Hockey; 1; -; -; 1; 1993
CAN; pascal dion; Short Track Speed Skating; 1; -; -; 2; 1994
NOR; sturla holm laegreid; Biathlon; 1; -; -; 1; 1997
SVK; petra vlhova; Alpine Skiing; 1; -; -; 3; 1995
NOR; peder kongshaug; Speed skating; 1; -; -; 1; 2001
FIN; frans tuohimaa; Ice Hockey; 1; -; -; 1; 1991
CAN; emma maltais; Ice Hockey; 1; -; -; 1; 1999
CAN; renata fast; Ice Hockey; 1; -; -; 2; 1994
CAN; laura stacey; Ice Hockey; 1; -; -; 2; 1994
CHN; wenjing sui; Figure skating; 1; -; -; 2; 1995
SUI; ryan regez; Freestyle Skiing; 1; -; -; 1; 1993
GBR; hailey duff; Curling; 1; -; -; 1; 1997
USA; kaillie humphries; Bobsleigh; 1; -; -; 4; 1985
FIN; harri pesonen; Ice Hockey; 1; -; -; 1; 1988
ITA; stefania constantini; Curling; 1; -; -; 1; 1999
NOR; marius lindvik; Ski Jumping; 1; -; -; 1; 1998
GBR; mili smith; Curling; 1; -; -; 1; 1998
USA; christopher lillis; Freestyle Skiing; 1; -; -; 1; 1998
FIN; joonas nattinen; Ice Hockey; 1; -; -; 1; 1991
CAN; sarah nurse; Ice Hockey; 1; -; -; 2; 1995
SWE; daniel magnusson; Curling; 1; -; -; 1; 2000
CAN; charles hamelin; Short Track Speed Skating; 1; -; -; 5; 1984
CZE; ester ledecka; Snowboard; 1; -; -; 3; 1995
FRA; clement noel; Alpine Skiing; 1; -; -; 2; 1997
FIN; niklas friman; Ice Hockey; 1; -; -; 1; 1993
AUS; jakara anthony; Freestyle Skiing; 1; -; -; 2; 1998
NED; xandra velzeboer; Short Track Speed Skating; 1; -; -; 1; 2001
GER; tobias wendl; Luge; 1; -; -; 3; 1987
JPN; ayumu hirano; Snowboard; 1; -; -; 3; 1998
ROC; alexey chervotkin; Cross Country Skiing; 1; -; -; 2; 1995
FIN; saku maenalanen; Ice Hockey; 1; -; -; 1; 1994
AUT; katharina truppe; Alpine Skiing; 1; -; -; 1; 1996
CAN; natalie spooner; Ice Hockey; 1; -; -; 3; 1990
CHN; dajing wu; Short Track Speed Skating; 1; -; -; 3; 1994
ITA; amos mosaner; Curling; 1; -; -; 2; 1995
CAN; jillian saulnier; Ice Hockey; 1; -; -; 2; 1992
FIN; sakari manninen; Ice Hockey; 1; -; -; 2; 1992
FIN; toni rajala; Ice Hockey; 1; -; -; 1; 1991
FIN; jussi olkinuora; Ice Hockey; 1; -; -; 1; 1990
USA; justin schoenefeld; Freestyle Skiing; 1; -; -; 1; 1998
CAN; maxime laoun; Short Track Speed Skating; 1; -; -; 1; 1996
USA; chloe kim; Snowboard; 1; -; -; 2; 2000
ROC; veronika stepanova; Cross Country Skiing; 1; -; -; 1; 2001
SWE; christoffer sundgren; Curling; 1; -; -; 2; 1989
CHN; cong han; Figure skating; 1; -; -; 2; 1992
CAN; emerance maschmeyer; Ice Hockey; 1; -; -; 1; 1994
ROC; kamila valieva; Figure skating; 1; -; -; 1; 2006
GBR; vicky wright; Curling; 1; -; -; 1; 1993
SWE; hanna oeberg; Biathlon; 1; -; -; 2; 1995
USA; ashley caldwell; Freestyle Skiing; 1; -; -; 4; 1993
CAN; blayre turnbull; Ice Hockey; 1; -; -; 2; 1993
SUI; corinne suter; Alpine Skiing; 1; -; -; 2; 1994
NZL; nico porteous; Freestyle Skiing; 1; -; -; 2; 2001
BEL; bart swings; Speed skating; 1; -; -; 3; 1991
CAN; brianne jenner; Ice Hockey; 1; -; -; 3; 1991
