Host, Year, Type, Sport, Event, Link
Beijing, 2022, Winter, Alpine Skiing, Men's Downhill,           ../alpine-skiing/men-downh..
Beijing, 2022, Winter, Alpine Skiing, Men's Giant Slalom,       ../alpine-skiing/men-giant..
Beijing, 2022, Winter, Alpine Skiing, Men's Super-G,            ../alpine-skiing/men-super..
Beijing, 2022, Winter, Alpine Skiing, Men's Slalom,             ../alpine-skiing/men-slalo..
Beijing, 2022, Winter, Alpine Skiing, Mixed Team Parallel,      ../alpine-skiing/mixed-tea..
Beijing, 2022, Winter, Alpine Skiing, Men's Alpine Combined,    ../alpine-skiing/men-alpin..
Beijing, 2022, Winter, Alpine Skiing, Women's Giant Slalom,     ../alpine-skiing/women-gia..
Beijing, 2022, Winter, Alpine Skiing, Women's Alpine Combined,  ../alpine-skiing/women-alp..
Beijing, 2022, Winter, Alpine Skiing, Women's Super-G,          ../alpine-skiing/women-sup..
Beijing, 2022, Winter, Alpine Skiing, Women's Downhill,         ../alpine-skiing/women-dow..
Beijing, 2022, Winter, Biathlon, Men's 12.5km Pursuit,          ../biathlon/men-12-5km-pur..
Beijing, 2022, Winter, Biathlon, Men's 10km Sprint,             ../biathlon/men-10km-sprin..
Beijing, 2022, Winter, Alpine Skiing, Women's Slalom,           ../alpine-skiing/women-sla..
Beijing, 2022, Winter, Biathlon, Men's 15km Mass Start,         ../biathlon/men-15km-mass-..
Beijing, 2022, Winter, Biathlon, Mixed Relay 4x6km (W+M),       ../biathlon/mixed-relay-4x..
Beijing, 2022, Winter, Biathlon, Men's 4x7.5km Relay,           ../biathlon/men-4x7-5km-re..
Beijing, 2022, Winter, Biathlon, Men's 20km Individual,         ../biathlon/men-20km-indiv..
Beijing, 2022, Winter, Biathlon, Women's 12.5km Mass Start,     ../biathlon/women-12-5km-m..
Beijing, 2022, Winter, Biathlon, Women's 10km Pursuit,          ../biathlon/women-10km-pur..
Beijing, 2022, Winter, Biathlon, Women's 15km Individual,       ../biathlon/women-15km-ind..
...,...,...,...,...,...
