Team, Athlete, Sport, G, S, B, Games, Birth
Norway, Johannes Thingnes Boe, Biathlon, 4, 0, 1, 3, 1993
ROC, Alexander Bolshunov, Cross Country Skiing, 3, 1, 1, 2, 1996
Norway, Marte Olsbu Roeiseland, Biathlon, 3, 0, 2, 1, 1990
Netherlands, Irene Schouten, Speed skating, 3, 0, 1, 2, 1992
Norway, Therese Johaug, Cross Country Skiing, 3, 0, 0, 3, 1988
France, Quentin Fillon Maillet, Biathlon, 2, 3, 0, 2, 1992
Norway, Johannes Hoesflot Klaebo, Cross Country Skiing, 2, 1, 1, 2, 1996
Norway, Tarjei Boe, Biathlon, 2, 1, 1, 4, 1988
Netherlands, Suzanne Schulting, Short Track Speed Skating, 2, 1, 1, 1, 1997
Norway, Joergen Graabak, Nordic Combined, 2, 1, 0, 3, 1991
China, Ailing Eileen Gu, Freestyle Skiing, 2, 1, 0, 1, 2003
Austria, Johannes Strolz, Alpine Skiing, 2, 1, 0, 1, 1992
Germany, Johannes Ludwig, Luge, 2, 0, 0, 2, 1986
Sweden, Nils Van Der Poel, Speed skating, 2, 0, 0, 2, 1996
USA, Lindsey Jacobellis, Snowboard, 2, 0, 0, 5, 1985
Germany, Thorsten Margis, Bobsleigh, 2, 0, 0, 3, 1989
Germany, Natalie Geisenberger, Luge, 2, 0, 0, 4, 1988
China, Ziwei Ren, Short Track Speed Skating, 2, 0, 0, 2, 1997
Slovenia, Ursa Bogataj, Ski Jumping, 2, 0, 0, 2, 1995
Germany, Francesco Friedrich, Bobsleigh, 2, 0, 0, 3, 1990
